id,titulo,url_pdf,caminho_local,status_download
933,Psoríase - Secuquinumabe (CONSENTYX),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/933.pdf,output/df_tjdft/pdfs/933.pdf,sucesso
934,Esclerose múltipla - OCRELIZUMAB (OCREVUS),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/934.pdf,output/df_tjdft/pdfs/934.pdf,sucesso
937,Artrite Idiopática juvenil - SECUQUINUMABE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/937.pdf,output/df_tjdft/pdfs/937.pdf,sucesso
942,"Esclerose sistêmica e doença pulmonar intersticial - micofenolato de mofetila, micofenolato sódico e nintedanibe",https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/942.pdf,output/df_tjdft/pdfs/942.pdf,sucesso
944,Linfoma não Hodgkin de células do manto - Rituximabe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/944.pdf,output/df_tjdft/pdfs/944.pdf,sucesso
945,Mieloma múltiplo - Bortezomibe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/945.pdf,output/df_tjdft/pdfs/945.pdf,sucesso
946,AME-zolgensma,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/946.pdf,output/df_tjdft/pdfs/946.pdf,sucesso
948,Artrite psoríasica - IXEQUIZUMABE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/948.pdf,output/df_tjdft/pdfs/948.pdf,sucesso
950,Urticária crônica espontânea - Omalizumabe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/950.pdf,output/df_tjdft/pdfs/950.pdf,sucesso
951,Diabetes - sistema de infusão contínua de insulina,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/951.pdf,output/df_tjdft/pdfs/951.pdf,sucesso
952,TRANSTORNO DEPRESSIVO/ ARIPIPRAZOL E ESCITALOPRAM,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/952.pdf,output/df_tjdft/pdfs/952.pdf,sucesso
953,Doença mediada por IgG4 - Rituximabe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/953.pdf,output/df_tjdft/pdfs/953.pdf,sucesso
954,Leucemia Linfóide Crônica - IBRUTINIBE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/954.pdf,output/df_tjdft/pdfs/954.pdf,sucesso
955,HIALORONATO DE SÓDIO / ARTROSE DE JOELHOS,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/955.pdf,output/df_tjdft/pdfs/955.pdf,sucesso
956,Neoplasia maligna de sistema nervoso central - VEMURAFENIBE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/956.pdf,output/df_tjdft/pdfs/956.pdf,sucesso
